question_id ;question_english;correct_answer_english;incorrect_answer_1_english;incorrect_answer_2_english;incorrect_answer_3_english;question_french;correct_answer_french;incorrect_answer_1_french;incorrect_answer_2_french;incorrect_answer_3_french
B-001-001-001;Authority to make regulations governing radiocommunications is derived from:;the Radiocommunication Act;the Radiocommunication Regulations;the Standards for the Operation of Radio Stations in the Amateur Radio Service;the ITU Radio Regulations;Le pouvoir d'établir des règlements sur la radiocommunication découle de :;la Loi sur la radiocommunication;le Règlement sur la radiocommunication;les Normes sur l'exploitation de stations radio du service de radioamateur;le Règlement des radiocommunications de l'UIT
B-001-001-002;Authority to make "Standards for the Operation of Radio Stations in the Amateur Radio Service" is derived from:;the Radiocommunication Act;the Radiocommunication Regulations;the Standards for the Operation of Radio Stations in the Amateur Radio Service;the ITU Radio Regulations;Le pouvoir d'établir des "Normes sur l'exploitation de stations radio du service de radioamateur" découle de :;la Loi sur la radiocommunication;le Règlement sur la radiocommunication;les Normes sur l'exploitation de stations radio du service de radioamateur;le Règlement des radiocommunications de l'UIT
B-001-001-003;The Department that is responsible for the administration of the Radiocommunication Act is:;Industry Canada;Transport Canada;Communications Canada;National Defence;Quel est le ministère responsable de l'application de la Loi sur la radiocommunication?;Industrie Canada;Transports Canada;Communications Canada;Défense nationale
B-001-001-004;The "amateur radio service" is defined in:;the Radiocommunication Regulations;the Radiocommunication Act;the Standards for the Operation of Radio Stations in the Amateur Radio Service;the FCC's Part 97 rules;Le service de radioamateur est défini dans :;le Règlement sur la radiocommunication;la Loi sur la radiocommunication;les Normes sur l'exploitation de stations radio du service de radioamateur;la Partie 97 des règlements de la Commission des Communications fédérale
B-001-002-001;What must you do to notify your mailing address changes?;Contact Industry Canada and provide details of your address change;Telephone your local club, and give them your new address;Contact an accredited examiner and provide details of your address change;Write amateur organizations advising them of your new address, enclosing your certificate;Que devez-vous faire lorsque vous changez d'adresse?;Communiquer avec Industrie Canada et fournir les détails de votre changement d'adresse;Téléphoner à votre club local pour donner votre nouvelle adresse;Communiquer avec un examinateur accrédité et fournir les détails de votre changement d'adresse;Faire parvenir votre nouvelle adresse aux organismes radioamateurs en y joignant votre certificat
B-001-002-002;An Amateur Radio Operator Certificate is valid for:;life;five years;three years;one year;Le certificat d'opérateur radioamateur est valide pour :;la vie;cinq ans;trois ans;un an
B-001-002-003;Whenever a change of address is made:;Industry Canada must be advised of any change in postal address;Industry Canada must be notified within 14 days of operation at the new address;the station shall not be operated until a change of address card is forwarded to Industry Canada;within the same province, there is no need to notify Industry Canada;Lorsqu'il y a changement d'adresse :;Industrie Canada doit être informé de tout changement d'adresse postale;Industrie Canada doit en être informé dans les 14 jours suivant la mise en service à la nouvelle adresse;l'exploitation de la station doit être interrompue tant qu'Industrie Canada n'a pas été averti du changement d'adresse;si c'est dans la même province, il n'est pas nécessaire d'en informer Industrie Canada
B-001-002-004;The Amateur Radio Operator Certificate:;must be retained at the station;must be put on file;must be kept in a safe place;must be kept on the person to whom it is issued;Le certificat d'opérateur radioamateur doit :;être conservé à la station;être versé dans un dossier;être conservé dans un endroit sûr;être conservé sur sa personne par le titulaire
B-001-002-005;The holder of an Amateur Radio Operator Certificate shall, at the request of a duly appointed radio inspector, produce the certificate, or a copy thereof, to the inspector, within ____ hours after the request:;48;12;24;72;Le titulaire d'un certificat d'opérateur radioamateur doit, à la demande d'un inspecteur de la radio, lui montrer son certificat, ou une copie de celui-ci, dans les __ heures suivant la demande :;48;12;24;72
B-001-002-006;The fee for an Amateur Radio Operator Certificate is:;free;$32;$10;$24;Le droit applicable au certificat d'opérateur radioamateur est de :;gratuit;32 $;10 $;24 $
